Sequence,J-Mean,F-Mean
bike-packing_1,0.448,0.681
bike-packing_2,0.689,0.719
blackswan_1,0.893,0.921
bmx-trees_1,0.328,0.702
bmx-trees_2,0.489,0.646
breakdance_1,0.643,0.649
camel_1,0.727,0.761
car-roundabout_1,0.872,0.731
car-shadow_1,0.847,0.782
cows_1,0.863,0.852
dance-twirl_1,0.616,0.640
dog_1,0.887,0.880
dogs-jump_1,0.280,0.351
dogs-jump_2,0.433,0.468
dogs-jump_3,0.684,0.794
drift-chicane_1,0.683,0.773
drift-straight_1,0.661,0.526
goat_1,0.832,0.831
gold-fish_1,0.752,0.692
gold-fish_2,0.621,0.713
gold-fish_3,0.710,0.676
gold-fish_4,0.764,0.759
gold-fish_5,0.846,0.763
horsejump-high_1,0.646,0.725
horsejump-high_2,0.447,0.679
india_1,0.578,0.511
india_2,0.473,0.421
india_3,0.483,0.423
judo_1,0.668,0.657
judo_2,0.641,0.606
kite-surf_1,0.225,0.216
kite-surf_2,0.000,0.001
kite-surf_3,0.610,0.825
lab-coat_1,0.000,0.000
lab-coat_2,0.000,0.000
lab-coat_3,0.592,0.474
lab-coat_4,0.629,0.430
lab-coat_5,0.479,0.452
libby_1,0.708,0.864
loading_1,0.684,0.598
loading_2,0.310,0.367
loading_3,0.683,0.704
mbike-trick_1,0.464,0.550
mbike-trick_2,0.520,0.556
motocross-jump_1,0.439,0.428
motocross-jump_2,0.664,0.574
paragliding-launch_1,0.658,0.639
paragliding-launch_2,0.307,0.640
paragliding-launch_3,0.030,0.163
parkour_1,0.799,0.861
pigs_1,0.768,0.729
pigs_2,0.486,0.583
pigs_3,0.891,0.804
scooter-black_1,0.083,0.252
scooter-black_2,0.413,0.461
shooting_1,0.304,0.371
shooting_2,0.693,0.583
shooting_3,0.599,0.836
soapbox_1,0.685,0.707
soapbox_2,0.278,0.433
soapbox_3,0.249,0.465
