Sequence,J-Mean,F-Mean
bike-packing_1,0.595,0.760
bike-packing_2,0.795,0.822
blackswan_1,0.895,0.940
bmx-trees_1,0.331,0.753
bmx-trees_2,0.554,0.724
breakdance_1,0.692,0.692
camel_1,0.759,0.842
car-roundabout_1,0.870,0.749
car-shadow_1,0.880,0.888
cows_1,0.883,0.901
dance-twirl_1,0.582,0.656
dog_1,0.913,0.941
dogs-jump_1,0.235,0.323
dogs-jump_2,0.539,0.625
dogs-jump_3,0.704,0.825
drift-chicane_1,0.632,0.725
drift-straight_1,0.783,0.674
goat_1,0.836,0.829
gold-fish_1,0.811,0.806
gold-fish_2,0.647,0.769
gold-fish_3,0.766,0.785
gold-fish_4,0.802,0.866
gold-fish_5,0.856,0.808
horsejump-high_1,0.714,0.813
horsejump-high_2,0.597,0.797
india_1,0.578,0.492
india_2,0.482,0.444
india_3,0.501,0.469
judo_1,0.563,0.660
judo_2,0.379,0.543
kite-surf_1,0.203,0.262
kite-surf_2,0.250,0.250
kite-surf_3,0.520,0.769
lab-coat_1,0.221,0.664
lab-coat_2,0.000,0.000
lab-coat_3,0.489,0.428
lab-coat_4,0.492,0.392
lab-coat_5,0.508,0.488
libby_1,0.724,0.914
loading_1,0.788,0.742
loading_2,0.409,0.392
loading_3,0.728,0.757
mbike-trick_1,0.613,0.696
mbike-trick_2,0.519,0.533
motocross-jump_1,0.470,0.513
motocross-jump_2,0.713,0.653
paragliding-launch_1,0.758,0.830
paragliding-launch_2,0.575,0.805
paragliding-launch_3,0.051,0.129
parkour_1,0.818,0.901
pigs_1,0.831,0.798
pigs_2,0.554,0.691
pigs_3,0.908,0.884
scooter-black_1,0.137,0.427
scooter-black_2,0.688,0.677
shooting_1,0.507,0.484
shooting_2,0.792,0.748
shooting_3,0.743,0.922
soapbox_1,0.689,0.718
soapbox_2,0.293,0.441
soapbox_3,0.206,0.449
