Sequence,J-Mean,F-Mean
bike-packing_1,0.480,0.677
bike-packing_2,0.703,0.715
blackswan_1,0.890,0.924
bmx-trees_1,0.322,0.694
bmx-trees_2,0.506,0.629
breakdance_1,0.681,0.704
camel_1,0.717,0.723
car-roundabout_1,0.873,0.750
car-shadow_1,0.788,0.708
cows_1,0.864,0.863
dance-twirl_1,0.615,0.631
dog_1,0.876,0.836
dogs-jump_1,0.409,0.404
dogs-jump_2,0.418,0.408
dogs-jump_3,0.689,0.791
drift-chicane_1,0.658,0.695
drift-straight_1,0.691,0.544
goat_1,0.840,0.835
gold-fish_1,0.783,0.731
gold-fish_2,0.614,0.684
gold-fish_3,0.735,0.715
gold-fish_4,0.782,0.762
gold-fish_5,0.839,0.749
horsejump-high_1,0.676,0.775
horsejump-high_2,0.468,0.686
india_1,0.587,0.515
india_2,0.496,0.503
india_3,0.484,0.409
judo_1,0.613,0.619
judo_2,0.659,0.630
kite-surf_1,0.212,0.173
kite-surf_2,0.000,0.003
kite-surf_3,0.631,0.856
lab-coat_1,0.000,0.000
lab-coat_2,0.000,0.000
lab-coat_3,0.598,0.511
lab-coat_4,0.625,0.464
lab-coat_5,0.463,0.460
libby_1,0.688,0.826
loading_1,0.766,0.714
loading_2,0.431,0.563
loading_3,0.684,0.720
mbike-trick_1,0.499,0.602
mbike-trick_2,0.577,0.600
motocross-jump_1,0.459,0.447
motocross-jump_2,0.647,0.544
paragliding-launch_1,0.690,0.719
paragliding-launch_2,0.415,0.717
paragliding-launch_3,0.029,0.174
parkour_1,0.816,0.876
pigs_1,0.826,0.779
pigs_2,0.523,0.653
pigs_3,0.885,0.804
scooter-black_1,0.104,0.285
scooter-black_2,0.568,0.534
shooting_1,0.483,0.447
shooting_2,0.745,0.599
shooting_3,0.664,0.868
soapbox_1,0.692,0.666
soapbox_2,0.320,0.471
soapbox_3,0.328,0.474
