Sequence,J-Mean,F-Mean
bike-packing_1,0.533,0.722
bike-packing_2,0.747,0.786
blackswan_1,0.898,0.942
bmx-trees_1,0.331,0.728
bmx-trees_2,0.526,0.680
breakdance_1,0.695,0.711
camel_1,0.729,0.765
car-roundabout_1,0.889,0.766
car-shadow_1,0.774,0.699
cows_1,0.872,0.872
dance-twirl_1,0.531,0.594
dog_1,0.881,0.847
dogs-jump_1,0.189,0.268
dogs-jump_2,0.404,0.469
dogs-jump_3,0.716,0.823
drift-chicane_1,0.588,0.692
drift-straight_1,0.736,0.587
goat_1,0.837,0.827
gold-fish_1,0.807,0.818
gold-fish_2,0.682,0.751
gold-fish_3,0.772,0.773
gold-fish_4,0.785,0.849
gold-fish_5,0.867,0.856
horsejump-high_1,0.701,0.808
horsejump-high_2,0.544,0.778
india_1,0.600,0.529
india_2,0.511,0.516
india_3,0.507,0.471
judo_1,0.740,0.754
judo_2,0.698,0.720
kite-surf_1,0.194,0.250
kite-surf_2,0.250,0.250
kite-surf_3,0.567,0.867
lab-coat_1,0.105,0.516
lab-coat_2,0.000,0.000
lab-coat_3,0.552,0.493
lab-coat_4,0.571,0.433
lab-coat_5,0.479,0.433
libby_1,0.718,0.903
loading_1,0.837,0.727
loading_2,0.374,0.431
loading_3,0.662,0.674
mbike-trick_1,0.486,0.598
mbike-trick_2,0.460,0.463
motocross-jump_1,0.489,0.493
motocross-jump_2,0.586,0.542
paragliding-launch_1,0.712,0.780
paragliding-launch_2,0.513,0.732
paragliding-launch_3,0.047,0.163
parkour_1,0.806,0.880
pigs_1,0.842,0.830
pigs_2,0.609,0.741
pigs_3,0.902,0.860
scooter-black_1,0.152,0.441
scooter-black_2,0.576,0.612
shooting_1,0.363,0.396
shooting_2,0.743,0.656
shooting_3,0.653,0.841
soapbox_1,0.704,0.684
soapbox_2,0.297,0.408
soapbox_3,0.356,0.553
