Sequence,J-Mean,F-Mean
bike-packing_1,0.490,0.712
bike-packing_2,0.719,0.771
blackswan_1,0.885,0.922
bmx-trees_1,0.320,0.698
bmx-trees_2,0.446,0.584
breakdance_1,0.677,0.686
camel_1,0.733,0.763
car-roundabout_1,0.784,0.704
car-shadow_1,0.835,0.796
cows_1,0.864,0.856
dance-twirl_1,0.531,0.606
dog_1,0.890,0.880
dogs-jump_1,0.281,0.242
dogs-jump_2,0.396,0.351
dogs-jump_3,0.663,0.757
drift-chicane_1,0.673,0.705
drift-straight_1,0.729,0.578
goat_1,0.843,0.847
gold-fish_1,0.772,0.729
gold-fish_2,0.651,0.733
gold-fish_3,0.686,0.651
gold-fish_4,0.748,0.737
gold-fish_5,0.819,0.697
horsejump-high_1,0.642,0.738
horsejump-high_2,0.429,0.678
india_1,0.575,0.497
india_2,0.474,0.433
india_3,0.468,0.417
judo_1,0.657,0.668
judo_2,0.565,0.618
kite-surf_1,0.223,0.200
kite-surf_2,0.000,0.002
kite-surf_3,0.604,0.843
lab-coat_1,0.000,0.000
lab-coat_2,0.000,0.000
lab-coat_3,0.530,0.443
lab-coat_4,0.544,0.463
lab-coat_5,0.449,0.424
libby_1,0.710,0.877
loading_1,0.707,0.653
loading_2,0.453,0.507
loading_3,0.661,0.686
mbike-trick_1,0.526,0.638
mbike-trick_2,0.584,0.624
motocross-jump_1,0.452,0.454
motocross-jump_2,0.688,0.613
paragliding-launch_1,0.659,0.675
paragliding-launch_2,0.355,0.670
paragliding-launch_3,0.033,0.146
parkour_1,0.797,0.873
pigs_1,0.815,0.774
pigs_2,0.531,0.634
pigs_3,0.883,0.797
scooter-black_1,0.086,0.315
scooter-black_2,0.523,0.512
shooting_1,0.200,0.287
shooting_2,0.713,0.650
shooting_3,0.633,0.844
soapbox_1,0.726,0.737
soapbox_2,0.327,0.431
soapbox_3,0.245,0.401
