Sequence,J-Mean,F-Mean
bike-packing_1,0.521,0.725
bike-packing_2,0.727,0.746
blackswan_1,0.894,0.939
bmx-trees_1,0.298,0.637
bmx-trees_2,0.456,0.588
breakdance_1,0.692,0.699
camel_1,0.682,0.714
car-roundabout_1,0.884,0.771
car-shadow_1,0.768,0.680
cows_1,0.868,0.856
dance-twirl_1,0.630,0.624
dog_1,0.879,0.837
dogs-jump_1,0.144,0.263
dogs-jump_2,0.368,0.460
dogs-jump_3,0.665,0.748
drift-chicane_1,0.585,0.657
drift-straight_1,0.678,0.509
goat_1,0.825,0.786
gold-fish_1,0.780,0.756
gold-fish_2,0.640,0.704
gold-fish_3,0.780,0.791
gold-fish_4,0.795,0.840
gold-fish_5,0.849,0.804
horsejump-high_1,0.661,0.743
horsejump-high_2,0.515,0.751
india_1,0.585,0.511
india_2,0.499,0.485
india_3,0.446,0.418
judo_1,0.701,0.744
judo_2,0.682,0.693
kite-surf_1,0.221,0.239
kite-surf_2,0.250,0.250
kite-surf_3,0.505,0.771
lab-coat_1,0.082,0.445
lab-coat_2,0.000,0.000
lab-coat_3,0.619,0.549
lab-coat_4,0.682,0.532
lab-coat_5,0.541,0.509
libby_1,0.716,0.900
loading_1,0.796,0.754
loading_2,0.378,0.431
loading_3,0.684,0.679
mbike-trick_1,0.468,0.594
mbike-trick_2,0.525,0.549
motocross-jump_1,0.458,0.450
motocross-jump_2,0.661,0.576
paragliding-launch_1,0.716,0.772
paragliding-launch_2,0.426,0.690
paragliding-launch_3,0.047,0.118
parkour_1,0.750,0.810
pigs_1,0.830,0.807
pigs_2,0.574,0.697
pigs_3,0.897,0.827
scooter-black_1,0.134,0.403
scooter-black_2,0.607,0.587
shooting_1,0.256,0.321
shooting_2,0.635,0.539
shooting_3,0.638,0.829
soapbox_1,0.715,0.660
soapbox_2,0.314,0.374
soapbox_3,0.415,0.558
