Sequence,J-Mean,F-Mean
bike-packing_1,0.499,0.667
bike-packing_2,0.726,0.772
blackswan_1,0.893,0.929
bmx-trees_1,0.237,0.598
bmx-trees_2,0.440,0.560
breakdance_1,0.669,0.671
camel_1,0.668,0.683
car-roundabout_1,0.867,0.749
car-shadow_1,0.815,0.768
cows_1,0.856,0.831
dance-twirl_1,0.513,0.530
dog_1,0.863,0.789
dogs-jump_1,0.391,0.347
dogs-jump_2,0.445,0.442
dogs-jump_3,0.640,0.739
drift-chicane_1,0.653,0.700
drift-straight_1,0.526,0.413
goat_1,0.834,0.815
gold-fish_1,0.753,0.664
gold-fish_2,0.598,0.623
gold-fish_3,0.750,0.738
gold-fish_4,0.765,0.758
gold-fish_5,0.845,0.777
horsejump-high_1,0.614,0.655
horsejump-high_2,0.448,0.651
india_1,0.555,0.476
india_2,0.456,0.388
india_3,0.417,0.391
judo_1,0.666,0.650
judo_2,0.582,0.571
kite-surf_1,0.198,0.174
kite-surf_2,0.009,0.119
kite-surf_3,0.542,0.807
lab-coat_1,0.000,0.000
lab-coat_2,0.000,0.000
lab-coat_3,0.619,0.498
lab-coat_4,0.619,0.469
lab-coat_5,0.532,0.526
libby_1,0.682,0.814
loading_1,0.776,0.658
loading_2,0.357,0.479
loading_3,0.615,0.622
mbike-trick_1,0.559,0.657
mbike-trick_2,0.624,0.595
motocross-jump_1,0.408,0.448
motocross-jump_2,0.616,0.542
paragliding-launch_1,0.719,0.772
paragliding-launch_2,0.413,0.710
paragliding-launch_3,0.023,0.095
parkour_1,0.625,0.620
pigs_1,0.807,0.739
pigs_2,0.548,0.650
pigs_3,0.891,0.809
scooter-black_1,0.069,0.264
scooter-black_2,0.574,0.531
shooting_1,0.337,0.326
shooting_2,0.666,0.543
shooting_3,0.571,0.757
soapbox_1,0.728,0.673
soapbox_2,0.298,0.435
soapbox_3,0.217,0.443
